sector,value_millions,source
Agriculture,73230.9,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mining & Utilities,322269.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Construction,691912.8,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Durable,855547.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Non-Durable,650199.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Wholesale Trade,819521.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Retail Trade,932711.4,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Transportation & Whsg.,572798.8,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Information,492561.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Finance & Real Estate,1145613.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Professional Services,1799016.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Admin & Waste Services,501363.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Education & Health,1301937.3,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Arts & Accommodation,622914.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Private Other Services,238063.4,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Federal Gov & Defense,503951.5,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
State & Local Gov,111433.6,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
