sector,value_millions,source
Agriculture,642300.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mining & Utilities,1589800.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Construction,2204000.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Durable,3412100.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Non-Durable,3720500.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Wholesale Trade,2883600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Retail Trade,2689500.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Transportation & Whsg.,1799600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Information,2448700.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Finance & Real Estate,8610900.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Professional Services,3862300.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Admin & Waste Services,1466600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Education & Health,3447500.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Arts & Accommodation,1990600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Private Other Services,930700.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Federal Gov & Defense,1455100.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
State & Local Gov,445400.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
