sector,value_millions,source
Agriculture,294100.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mining & Utilities,907800.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Construction,1112400.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Durable,1393400.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Mfg — Non-Durable,1274900.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Wholesale Trade,1594400.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Retail Trade,1647900.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Transportation & Whsg.,912100.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Information,1383600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Finance & Real Estate,5455300.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Professional Services,2537400.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Admin & Waste Services,837000.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Education & Health,2159100.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Arts & Accommodation,1070300.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Private Other Services,549800.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
Federal Gov & Defense,945500.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
State & Local Gov,143600.0,"BEA GDPbyIndustry 2022, fetched 2026-03-16"
